Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-MARACAI;n/d;1753;960;n/d;n/d;2713
SP-MARAPOAMA;n/d;1182;420;n/d;n/d;1602
SP-MARIAPOLIS;n/d;174;159;n/d;n/d;333
SP-MARILIA;n/d;35649;33656;n/d;n/d;69305
SP-MARINOPOLIS;n/d;164;132;n/d;n/d;296
SP-MARTINOPOLIS;n/d;1565;1474;n/d;n/d;3039
SP-MATAO;n/d;21521;11737;n/d;n/d;33258
SP-MAUA;n/d;37511;22299;n/d;n/d;59810
SP-MENDONCA;n/d;1826;610;n/d;n/d;2436
SP-MERIDIANO;n/d;1621;346;n/d;n/d;1967
SP-MESOPOLIS;n/d;109;138;n/d;n/d;247
SP-MIGUELOPOLIS;n/d;1275;1568;n/d;n/d;2843
SP-MINEIROS DO TIETE;n/d;873;629;n/d;n/d;1502
SP-MIRACATU;n/d;1728;1242;n/d;n/d;2970
SP-MIRA ESTRELA;n/d;250;184;n/d;n/d;434
SP-MIRANDOPOLIS;n/d;2140;1749;n/d;n/d;3889
SP-MIRANTE DO PARANAPANEMA;n/d;2646;1042;n/d;n/d;3688
SP-MIRASSOL;n/d;8710;5724;n/d;n/d;14434
SP-MIRASSOLANDIA;n/d;512;255;n/d;n/d;767
SP-MOCOCA;n/d;11043;6166;n/d;n/d;17209
SP-MOGI DAS CRUZES;n/d;55534;45146;n/d;n/d;100680
SP-MOGI GUACU;n/d;23533;16310;n/d;n/d;39843
SP-MOGI MIRIM;n/d;16337;12047;n/d;n/d;28384
SP-MOMBUCA;n/d;320;303;n/d;n/d;623
SP-MONCOES;n/d;695;234;n/d;n/d;929
SP-MONGAGUA;n/d;3413;3210;n/d;n/d;6623
SP-MONTE ALEGRE DO SUL;n/d;760;590;n/d;n/d;1350
SP-MONTE ALTO;n/d;7660;5676;n/d;n/d;13336
SP-MONTE APRAZIVEL;n/d;2254;1505;n/d;n/d;3759
SP-MONTE AZUL PAULISTA;n/d;3516;1771;n/d;n/d;5287
SP-MONTE CASTELO;n/d;266;252;n/d;n/d;518
SP-MONTEIRO LOBATO;n/d;361;261;n/d;n/d;622
SP-MONTE MOR;n/d;7524;4761;n/d;n/d;12285
SP-MORRO AGUDO;n/d;4876;2277;n/d;n/d;7153
SP-MORUNGABA;n/d;2136;2194;n/d;n/d;4330
SP-MOTUCA;n/d;367;300;n/d;n/d;667
SP-MURUTINGA DO SUL;n/d;232;213;n/d;n/d;445
SP-NANTES;n/d;226;144;n/d;n/d;370
SP-NARANDIBA;n/d;701;403;n/d;n/d;1104
SP-NATIVIDADE DA SERRA;n/d;448;225;n/d;n/d;673
SP-NAZARE PAULISTA;n/d;1672;1135;n/d;n/d;2807
SP-NEVES PAULISTA;n/d;902;658;n/d;n/d;1560
SP-NHANDEARA;n/d;904;847;n/d;n/d;1751
SP-NIPOA;n/d;359;289;n/d;n/d;648
SP-NOVA ALIANCA;n/d;764;631;n/d;n/d;1395
SP-NOVA CAMPINA;n/d;1610;532;n/d;n/d;2142
SP-NOVA CANAA PAULISTA;n/d;115;102;n/d;n/d;217
SP-NOVA CASTILHO;n/d;44;18;n/d;n/d;62
SP-NOVA EUROPA;n/d;2670;774;n/d;n/d;3444
SP-NOVA GRANADA;n/d;1566;1300;n/d;n/d;2866
SP-NOVA GUATAPORANGA;n/d;119;117;n/d;n/d;236
SP-NOVA INDEPENDENCIA;n/d;1318;350;n/d;n/d;1668
SP-NOVAIS;n/d;251;263;n/d;n/d;514
SP-NOVA LUZITANIA;n/d;137;142;n/d;n/d;279
SP-NOVA ODESSA;n/d;12287;7090;n/d;n/d;19377
SP-NOVO HORIZONTE;n/d;6072;3439;n/d;n/d;9511
SP-NUPORANGA;n/d;1489;1593;n/d;n/d;3082
SP-OCAUCU;n/d;556;302;n/d;n/d;858
SP-OLEO;n/d;214;120;n/d;n/d;334
SP-OLIMPIA;n/d;9538;6543;n/d;n/d;16081
SP-ONDA VERDE;n/d;1816;613;n/d;n/d;2429
SP-ORIENTE;n/d;552;330;n/d;n/d;882
SP-ORINDIUVA;n/d;2378;683;n/d;n/d;3061
SP-ORLANDIA;n/d;7909;3858;n/d;n/d;11767
SP-OSASCO;n/d;87294;71554;n/d;n/d;158848
SP-OSCAR BRESSANE;n/d;249;210;n/d;n/d;459
SP-OSVALDO CRUZ;n/d;4126;3585;n/d;n/d;7711
SP-OURINHOS;n/d;15996;11769;n/d;n/d;27765
SP-OUROESTE;n/d;1897;729;n/d;n/d;2626
SP-OURO VERDE;n/d;378;329;n/d;n/d;707
SP-PACAEMBU;n/d;866;1251;n/d;n/d;2117
SP-PALESTINA;n/d;2597;847;n/d;n/d;3444
SP-PALMARES PAULISTA;n/d;321;483;n/d;n/d;804
SP-PALMEIRA D OESTE;n/d;611;447;n/d;n/d;1058
SP-PALMITAL;n/d;2591;1590;n/d;n/d;4181
SP-PANORAMA;n/d;1663;1017;n/d;n/d;2680
SP-PARAGUACU PAULISTA;n/d;8820;3935;n/d;n/d;12755
SP-PARAIBUNA;n/d;1514;1179;n/d;n/d;2693
SP-PARAISO;n/d;1401;476;n/d;n/d;1877
SP-PARANAPANEMA;n/d;2849;1958;n/d;n/d;4807
SP-PARANAPUA;n/d;457;313;n/d;n/d;770
SP-PARAPUA;n/d;2024;803;n/d;n/d;2827
SP-PARDINHO;n/d;1138;1122;n/d;n/d;2260
SP-PARIQUERA-ACU;n/d;2239;2050;n/d;n/d;4289
SP-PARISI;n/d;201;137;n/d;n/d;338
SP-PATROCINIO PAULISTA;n/d;3111;1145;n/d;n/d;4256
SP-PAULICEIA;n/d;1452;569;n/d;n/d;2021
SP-PAULINIA;n/d;29911;15635;n/d;n/d;45546
SP-PAULISTANIA;n/d;200;114;n/d;n/d;314
SP-PAULO DE FARIA;n/d;593;407;n/d;n/d;1000
SP-PEDERNEIRAS;n/d;7896;4136;n/d;n/d;12032
SP-PEDRA BELA;n/d;478;423;n/d;n/d;901
SP-PEDRANOPOLIS;n/d;268;164;n/d;n/d;432
SP-PEDREGULHO;n/d;1820;1252;n/d;n/d;3072
SP-PEDREIRA;n/d;7066;6229;n/d;n/d;13295
SP-PEDRINHAS PAULISTA;n/d;359;242;n/d;n/d;601
SP-PEDRO DE TOLEDO;n/d;477;451;n/d;n/d;928
SP-PENAPOLIS;n/d;7680;6674;n/d;n/d;14354
SP-PEREIRA BARRETO;n/d;3331;1989;n/d;n/d;5320
SP-PEREIRAS;n/d;1558;929;n/d;n/d;2487
SP-PERUIBE;n/d;5117;4550;n/d;n/d;9667
SP-PIACATU;n/d;411;580;n/d;n/d;991
SP-PIEDADE;n/d;4423;3446;n/d;n/d;7869
SP-PILAR DO SUL;n/d;3571;2113;n/d;n/d;5684
SP-PINDAMONHANGABA;n/d;19975;12232;n/d;n/d;32207
SP-PINDORAMA;n/d;1524;941;n/d;n/d;2465
SP-PINHALZINHO;n/d;1037;1095;n/d;n/d;2132
